date,open,high,low,close,Name
2013-02-11,14.89,15.01,14.26,14.46,AAL
2013-02-12,14.45,14.51,14.1,14.27,AAL
2013-02-13,14.3,14.94,14.25,14.66,AAL
2013-02-11,68.0714,69.2771,67.6071,68.5614,AAPL
2013-02-12,68.5014,68.9114,66.8205,66.8428,AAPL
2013-02-13,66.7442,67.6628,66.1742,66.7156,AAPL
2013-02-11,78.65,78.91,77.23,78.39,AAP
2013-02-12,78.39,78.63,77.5132,78.6,AAP
2013-02-13,78.9,79.13,77.85,78.97,AAP
2013-02-11,39.17,39.33,39.09,39.21,AVY
2013-02-12,39.21,39.7,39.2,39.43,AVY
2013-02-13,39.5,39.86,39.43,39.61,AVY
